,lib,sgRNA,count_reads,count_Gbps
0,TargetSeq-B-1,EMX1-guide-10_R1,3193453,0.001005
1,TargetSeq-B-1,EMX1-guide-10_R2,3193453,0.001005
2,TargetSeq-B-1,EMX1-guide-13_R1,3193453,0.00083595
3,TargetSeq-B-1,EMX1-guide-13_R2,3193453,0.00083595
4,TargetSeq-B-1,EMX1-guide-2_R1,3193453,0.00205155
5,TargetSeq-B-1,EMX1-guide-2_R2,3193453,0.00205155
6,TargetSeq-B-1,EMX1-guide-4_R1,3193453,3.919e-06
7,TargetSeq-B-1,EMX1-guide-4_R2,3193453,3.919e-06
8,TargetSeq-B-1,EMX1-notOFF-02_R1,3193453,0.000552472
9,TargetSeq-B-1,EMX1-notOFF-02_R2,3193453,0.000552472
10,TargetSeq-B-1,EMX1-on-target_R1,3193453,1.8843e-05
11,TargetSeq-B-1,EMX1-on-target_R2,3193453,1.8843e-05
12,TargetSeq-B-2,EMX1-guide-10_R1,3193453,1.7245e-05
13,TargetSeq-B-2,EMX1-guide-10_R2,3193453,1.7245e-05
14,TargetSeq-B-2,EMX1-guide-13_R1,3193453,0.000606565
15,TargetSeq-B-2,EMX1-guide-13_R2,3193453,0.000606565
16,TargetSeq-B-2,EMX1-guide-2_R1,3193453,0.001095032
17,TargetSeq-B-2,EMX1-guide-2_R2,3193453,0.001095032
18,TargetSeq-B-2,EMX1-guide-4_R1,3193453,1.611e-06
19,TargetSeq-B-2,EMX1-guide-4_R2,3193453,1.611e-06
20,TargetSeq-B-2,EMX1-notOFF-02_R1,3193453,0.000791541
21,TargetSeq-B-2,EMX1-notOFF-02_R2,3193453,0.000791541
22,TargetSeq-B-2,EMX1-on-target_R1,3193453,6.473e-06
23,TargetSeq-B-2,EMX1-on-target_R2,3193453,6.473e-06
24,TargetSeq-EH-1,EMX1-notOFF-01_R1,3193453,0.001244337
25,TargetSeq-EH-1,EMX1-notOFF-01_R2,3193453,0.001244337
26,TargetSeq-EH-1,EMX1-notOFF-02_R1,3193453,4.329e-06
27,TargetSeq-EH-1,EMX1-notOFF-02_R2,3193453,4.329e-06
28,TargetSeq-EH-1,EMX1-notOFF-03_R1,3193453,0.0002607
29,TargetSeq-EH-1,EMX1-notOFF-03_R2,3193453,0.0002607
30,TargetSeq-EH-1,HEK4-Guideseq-3_R1,3193453,0.000841489
31,TargetSeq-EH-1,HEK4-Guideseq-3_R2,3193453,0.000841489
32,TargetSeq-EH-1,HEK4-Guideseq-4_R1,3193453,6.545e-06
33,TargetSeq-EH-1,HEK4-Guideseq-4_R2,3193453,6.545e-06
34,TargetSeq-EH-1,HEK4-Guideseq-6_R1,3193453,0.00315435
35,TargetSeq-EH-1,HEK4-Guideseq-6_R2,3193453,0.00315435
36,TargetSeq-EH-2,EMX1-notOFF-01_R1,3193453,1.8826e-05
37,TargetSeq-EH-2,EMX1-notOFF-01_R2,3193453,1.8826e-05
38,TargetSeq-EH-2,EMX1-notOFF-02_R1,3193453,1.3681e-05
39,TargetSeq-EH-2,EMX1-notOFF-02_R2,3193453,1.3681e-05
40,TargetSeq-EH-2,EMX1-notOFF-03_R1,3193453,7.206e-06
41,TargetSeq-EH-2,EMX1-notOFF-03_R2,3193453,7.206e-06
42,TargetSeq-EH-2,HEK4-Guideseq-3_R1,3193453,3.14e-07
43,TargetSeq-EH-2,HEK4-Guideseq-3_R2,3193453,3.14e-07
44,TargetSeq-EH-2,HEK4-Guideseq-4_R1,3193453,0.0025728
45,TargetSeq-EH-2,HEK4-Guideseq-4_R2,3193453,0.0025728
46,TargetSeq-EH-2,HEK4-Guideseq-6_R1,3193453,0.000991912
47,TargetSeq-EH-2,HEK4-Guideseq-6_R2,3193453,0.000991912
48,TargetSeq-Ed,EMX1-Dis-1_R1,3193453,0.000129465
49,TargetSeq-Ed,EMX1-Dis-1_R2,3193453,0.000129465
