,lib,sgRNA,count_reads,count_Gbps
0,TargetSeq-B-1,EMX1-guide-10_R1,3193453,0.166167042
1,TargetSeq-B-1,EMX1-guide-10_R2,3193453,0.166167042
2,TargetSeq-B-1,EMX1-guide-13_R1,2843385,0.147850349
3,TargetSeq-B-1,EMX1-guide-13_R2,2843385,0.147850349
4,TargetSeq-B-1,EMX1-guide-2_R1,2153689,0.099735933
5,TargetSeq-B-1,EMX1-guide-2_R2,2153689,0.099735933
6,TargetSeq-B-1,EMX1-guide-4_R1,3330222,0.173167692
7,TargetSeq-B-1,EMX1-guide-4_R2,3330222,0.173167692
8,TargetSeq-B-1,EMX1-notOFF-02_R1,3266407,0.151462741
9,TargetSeq-B-1,EMX1-notOFF-02_R2,3266407,0.151462741
10,TargetSeq-B-1,EMX1-on-target_R1,2763582,0.129255451
11,TargetSeq-B-1,EMX1-on-target_R2,2763582,0.129255451
12,TargetSeq-B-2,EMX1-guide-10_R1,4041431,0.183447488
13,TargetSeq-B-2,EMX1-guide-10_R2,4041431,0.183447488
14,TargetSeq-B-2,EMX1-guide-13_R1,4011741,0.207242252
15,TargetSeq-B-2,EMX1-guide-13_R2,4011741,0.207242252
16,TargetSeq-B-2,EMX1-guide-2_R1,2857498,0.135388152
17,TargetSeq-B-2,EMX1-guide-2_R2,2857498,0.135388152
18,TargetSeq-B-2,EMX1-guide-4_R1,3793138,0.18449989
19,TargetSeq-B-2,EMX1-guide-4_R2,3793138,0.18449989
20,TargetSeq-B-2,EMX1-notOFF-02_R1,4061589,0.196517035
21,TargetSeq-B-2,EMX1-notOFF-02_R2,4061589,0.196517035
22,TargetSeq-B-2,EMX1-on-target_R1,3425776,0.154658717
23,TargetSeq-B-2,EMX1-on-target_R2,3425776,0.154658717
24,TargetSeq-EH-1,EMX1-notOFF-01_R1,6279418,0.292527153
25,TargetSeq-EH-1,EMX1-notOFF-01_R2,6279418,0.292527153
26,TargetSeq-EH-1,EMX1-notOFF-02_R1,8796917,0.402399429
27,TargetSeq-EH-1,EMX1-notOFF-02_R2,8796917,0.402399429
28,TargetSeq-EH-1,EMX1-notOFF-03_R1,8096509,0.416665681
29,TargetSeq-EH-1,EMX1-notOFF-03_R2,8096509,0.416665681
30,TargetSeq-EH-1,HEK4-Guideseq-3_R1,1503768,0.073730774
31,TargetSeq-EH-1,HEK4-Guideseq-3_R2,1503768,0.073730774
32,TargetSeq-EH-1,HEK4-Guideseq-4_R1,3984155,0.18721961
33,TargetSeq-EH-1,HEK4-Guideseq-4_R2,3984155,0.18721961
34,TargetSeq-EH-1,HEK4-Guideseq-6_R1,4254494,0.218563182
35,TargetSeq-EH-1,HEK4-Guideseq-6_R2,4254494,0.218563182
36,TargetSeq-EH-2,EMX1-notOFF-01_R1,6392256,0.34605987
37,TargetSeq-EH-2,EMX1-notOFF-01_R2,6392256,0.34605987
38,TargetSeq-EH-2,EMX1-notOFF-02_R1,8759769,0.444026052
39,TargetSeq-EH-2,EMX1-notOFF-02_R2,8759769,0.444026052
40,TargetSeq-EH-2,EMX1-notOFF-03_R1,7869354,0.403107492
41,TargetSeq-EH-2,EMX1-notOFF-03_R2,7869354,0.403107492
42,TargetSeq-EH-2,HEK4-Guideseq-3_R1,2512422,0.112619019
43,TargetSeq-EH-2,HEK4-Guideseq-3_R2,2512422,0.112619019
44,TargetSeq-EH-2,HEK4-Guideseq-4_R1,8507365,0.40526068
45,TargetSeq-EH-2,HEK4-Guideseq-4_R2,8507365,0.40526068
46,TargetSeq-EH-2,HEK4-Guideseq-6_R1,8903415,0.451186702
47,TargetSeq-EH-2,HEK4-Guideseq-6_R2,8903415,0.451186702
48,TargetSeq-Ed,EMX1-Dis-1_R1,4608050,0.21581586
49,TargetSeq-Ed,EMX1-Dis-1_R2,4608050,0.21581586
50,TargetSeq-Ed,EMX1-Dis-2_R1,4630716,0.210265194
51,TargetSeq-Ed,EMX1-Dis-2_R2,4630716,0.210265194
52,TargetSeq-Ed,EMX1-Dis-3_R1,10435523,0.495773238
53,TargetSeq-Ed,EMX1-Dis-3_R2,10435523,0.495773238
54,TargetSeq-H1,HEK4-Dis-1_R1,10252335,0.470741703
55,TargetSeq-H1,HEK4-Dis-1_R2,10252335,0.470741703
56,TargetSeq-H1,HEK4-Dis-5_R1,1262,0.0001893
57,TargetSeq-H1,HEK4-Dis-5_R2,1262,0.0001893
58,TargetSeq-M1-1,EMX1-guide-10_R1,4158990,0.195474357
59,TargetSeq-M1-1,EMX1-guide-10_R2,4158990,0.195474357
60,TargetSeq-M1-1,EMX1-guide-13_R1,2859674,0.146346183
61,TargetSeq-M1-1,EMX1-guide-13_R2,2859674,0.146346183
62,TargetSeq-M1-1,EMX1-guide-2_R1,2893967,0.140243291
63,TargetSeq-M1-1,EMX1-guide-2_R2,2893967,0.140243291
64,TargetSeq-M1-1,EMX1-guide-4_R1,4186332,0.19894841
65,TargetSeq-M1-1,EMX1-guide-4_R2,4186332,0.19894841
66,TargetSeq-M1-1,EMX1-notOFF-02_R1,3648294,0.165193552
67,TargetSeq-M1-1,EMX1-notOFF-02_R2,3648294,0.165193552
68,TargetSeq-M1-1,EMX1-on-target_R1,3549323,0.176268436
69,TargetSeq-M1-1,EMX1-on-target_R2,3549323,0.176268436
70,TargetSeq-M1-2,EMX1-guide-10_R1,4050655,0.205754795
71,TargetSeq-M1-2,EMX1-guide-10_R2,4050655,0.205754795
72,TargetSeq-M1-2,EMX1-guide-13_R1,3452399,0.169696186
